Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-12-01,9.0,ENE,31.9,90.7,13.2,15.9,14.5
2018-12-02,0.4,NE,16.0,63.0,15.0,17.0,16.2
2018-12-03,7.4,NNE,21.0,83.3,14.1,17.2,16.0
2018-12-04,5.4,WNW,25.0,218.5,14.5,17.5,16.0
2018-12-05,0.0,W,39.4,79.6,13.7,17.2,15.2
2018-12-06,0.6,W,32.2,70.4,10.8,14.1,12.9
2018-12-07,0.0,SW,21.2,64.8,10.1,17.5,12.9
2018-12-08,0.0,SSE,11.3,33.3,12.3,18.8,15.1
2018-12-09,0.0,NE,8.7,33.3,14.4,19.1,15.9
2018-12-10,0.0,NNW,11.1,40.7,13.3,19.3,15.7
2018-12-11,6.2,NE,11.1,38.9,14.2,15.8,15.1
2018-12-12,0.0,NNE,13.6,46.3,14.6,17.7,16.1
2018-12-13,0.0,NNE,6.1,31.5,14.1,19.2,16.7
2018-12-14,0.0,NE,7.5,33.3,15.1,19.4,16.9
2018-12-15,5.0,E,10.1,37.0,13.2,19.2,16.5
2018-12-16,0.0,NE,10.0,35.2,15.1,20.9,16.8
2018-12-17,0.0,NE,9.4,29.6,15.4,18.8,16.4
2018-12-18,0.0,W,17.1,83.3,15.9,21.6,17.8
2018-12-19,0.0,W,32.1,63.0,15.3,19.3,17.2
2018-12-20,7.6,W,16.6,70.4,12.6,18.5,16.3
2018-12-21,0.0,W,29.5,96.3,14.4,19.5,15.8
2018-12-22,0.0,W,21.4,66.7,14.8,20.1,16.4
2018-12-23,3.2,ENE,12.3,218.5,13.8,18.5,16.6
2018-12-24,19.8,ENE,23.7,77.8,14.6,17.9,16.5
2018-12-25,23.8,NNE,19.9,92.6,15.1,18.4,16.5
2018-12-26,0.8,W,28.9,63.0,15.1,19.2,17.2
2018-12-27,0.0,NE,14.1,44.4,15.5,18.3,16.4
2018-12-28,0.0,NE,14.6,40.7,15.3,17.2,16.1
2018-12-29,0.0,NE,8.5,35.2,15.0,19.0,16.8
2018-12-30,0.8,W,13.4,44.4,14.6,20.4,16.8
2018-12-31,0.0,W,22.4,50.0,15.8,19.2,17.2
