Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-04-01,,WNW,21.4,,,,
2018-04-02,,W,19.8,,,,
2018-04-03,,W,26.8,,,,
2018-04-04,0.0,W,24.0,55.6,16.2,19.9,18.1
2018-04-05,0.0,W,19.5,57.4,14.1,19.6,16.1
2018-04-06,0.0,SW,13.0,46.3,15.6,20.1,17.4
2018-04-07,0.0,W,29.2,68.5,14.4,19.7,16.7
2018-04-08,1.0,SSW,13.0,55.6,13.2,17.7,15.0
2018-04-09,0.0,W,28.9,59.3,13.4,17.6,15.6
2018-04-10,1.6,WSW,27.4,88.9,14.3,18.8,16.8
2018-04-11,2.2,WSW,41.5,107.4,6.1,14.4,8.8
2018-04-12,0.2,W,39.1,92.6,8.4,14.1,11.1
2018-04-13,0.2,W,43.1,103.7,12.1,15.4,13.5
2018-04-14,2.8,E,19.0,50.0,11.8,14.2,12.9
2018-04-15,14.6,ENE,18.0,53.7,12.9,14.8,14.0
2018-04-16,1.2,WNW,27.4,88.9,14.8,18.5,16.9
2018-04-17,0.0,W,25.6,64.8,15.1,18.1,16.6
2018-04-18,0.0,W,41.4,92.6,11.4,17.7,14.7
2018-04-19,0.0,W,31.1,61.1,10.4,15.1,12.8
2018-04-20,0.0,WNW,36.8,70.4,13.3,16.5,14.4
2018-04-21,0.0,WNW,42.7,74.1,13.9,15.1,14.4
2018-04-22,0.0,N,15.6,57.4,14.5,15.1,14.7
2018-04-23,0.0,W,17.1,38.9,11.5,14.9,13.1
2018-04-24,0.0,W,28.6,61.1,12.7,14.4,13.4
2018-04-25,0.0,W,14.1,48.2,10.8,15.8,12.9
2018-04-26,0.0,W,9.7,25.9,12.4,15.8,13.9
2018-04-27,0.0,NE,13.2,59.3,13.7,17.3,15.1
2018-04-28,11.8,NNE,24.3,81.5,14.3,16.2,15.4
2018-04-29,40.8,NE,29.5,207.4,14.3,17.0,16.1
2018-04-30,2.2,ENE,11.1,46.3,14.8,17.3,15.7
