Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2019-02-01,0.0,WNW,7.7,33.3,17.2,21.8,19.0
2019-02-02,0.0,SW,14.1,68.5,16.8,24.9,19.3
2019-02-03,0.0,E,12.7,61.1,16.2,21.7,18.2
2019-02-04,0.0,NE,8.5,44.4,15.4,20.3,17.4
2019-02-05,0.0,W,14.3,57.4,16.9,23.3,19.0
2019-02-06,0.0,WSW,17.4,70.4,15.9,23.1,18.5
2019-02-07,0.0,WNW,13.4,59.3,14.6,20.7,16.6
2019-02-08,0.0,NE,18.4,70.4,14.5,18.7,16.3
2019-02-09,0.0,ENE,19.7,68.5,15.6,20.8,17.6
2019-02-10,0.0,SSW,12.0,66.7,16.4,22.7,18.5
2019-02-11,0.0,SW,18.0,53.7,17.1,24.7,19.6
2019-02-12,0.0,W,20.8,63.0,16.1,22.6,19.2
2019-02-13,0.0,W,21.8,57.4,16.5,25.0,18.9
2019-02-14,0.0,N,6.6,29.6,18.0,23.0,19.3
2019-02-15,0.0,NW,9.9,31.5,17.8,23.1,19.5
2019-02-16,0.0,WSW,18.6,61.1,15.7,24.1,18.7
2019-02-17,0.0,SE,13.9,66.7,16.2,21.1,18.0
2019-02-18,4.0,W,17.1,44.4,15.9,21.5,18.5
2019-02-19,0.0,NW,10.4,33.3,16.6,20.9,18.3
2019-02-20,0.0,NNE,9.4,53.7,16.8,23.0,19.0
2019-02-21,0.0,NNE,21.2,48.2,18.3,21.3,19.2
