Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-01-01,0.4,SSW,20.2,,16.2,21.0,17.8
2018-01-02,2.0,ESE,23.7,,15.8,20.2,17.6
2018-01-03,17.0,ENE,29.2,,15.6,18.5,17.1
2018-01-04,0.0,NE,30.9,,16.5,18.8,18.0
2018-01-05,37.8,NNE,54.6,,17.1,18.9,18.0
2018-01-06,0.0,WSW,38.4,,14.6,19.7,17.1
2018-01-07,0.0,ESE,25.8,,12.5,16.9,14.8
2018-01-08,0.0,SSE,20.9,,14.4,19.6,16.6
2018-01-09,0.0,SW,23.5,,15.4,20.3,17.9
2018-01-10,169.6,WSW,33.4,,16.1,20.8,18.3
2018-01-11,37.2,SSW,20.5,,17.0,23.3,18.6
2018-01-12,97.6,ESE,21.8,,17.5,20.5,18.7
2018-01-13,116.6,ESE,22.7,,16.9,20.1,18.1
2018-01-14,59.6,ESE,17.7,,17.5,20.8,18.7
2018-01-15,28.8,E,21.5,,16.9,19.7,18.2
2018-01-16,,E,20.8,,16.0,19.4,17.3
2018-01-17,,NE,26.2,,16.1,19.9,17.8
2018-01-18,,NE,30.5,,16.8,19.3,17.8
2018-01-19,,E,21.7,,17.0,20.9,18.6
2018-01-20,,SSE,18.0,,18.1,21.3,19.2
2018-01-21,,S,17.9,,18.4,21.7,19.2
2018-01-22,,SE,18.6,,18.0,21.9,19.5
2018-01-23,,WSW,14.7,,17.2,22.1,19.5
2018-01-24,,SW,18.6,,18.3,23.9,20.2
2018-01-25,,S,13.4,,18.8,24.1,20.9
2018-01-26,,SE,19.3,,19.0,25.7,21.0
2018-01-27,,SE,19.5,,18.7,24.0,20.7
2018-01-28,,ESE,21.5,,18.3,22.3,20.1
2018-01-29,,SE,17.7,,17.8,23.7,20.3
2018-01-30,,E,16.5,,18.2,21.0,19.3
2018-01-31,,ENE,18.4,,18.1,22.1,19.4
