Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-08-01,17.6,ENE,10.0,46.3,9.5,13.0,11.2
2018-08-02,6.6,SW,9.1,42.6,10.5,13.8,12.0
2018-08-03,11.0,ENE,12.1,48.2,8.8,12.2,10.6
2018-08-04,23.6,ENE,19.3,83.3,9.7,11.8,10.7
2018-08-05,21.6,ENE,46.1,140.8,-8.0,44.0,12.1
2018-08-06,0.2,ENE,11.4,53.7,-9.3,22.7,10.6
2018-08-07,8.0,NNE,19.0,55.6,10.6,17.0,12.5
2018-08-08,0.6,NNE,28.6,64.8,11.4,13.2,12.6
2018-08-09,5.4,W,31.1,231.5,9.2,13.0,11.0
2018-08-10,0.0,WSW,18.1,53.7,8.3,12.7,10.0
2018-08-11,0.0,S,11.9,50.0,8.9,13.6,10.9
2018-08-12,0.0,SW,12.1,42.6,7.6,11.7,9.3
2018-08-13,0.2,NE,14.2,61.1,8.1,11.5,9.6
2018-08-14,12.4,WNW,47.6,120.4,9.5,11.4,10.6
2018-08-15,0.0,W,46.6,105.6,9.6,12.6,10.7
2018-08-16,0.0,W,31.4,64.8,8.7,12.5,10.7
2018-08-17,0.8,W,27.5,68.5,9.8,12.8,11.5
2018-08-18,1.6,W,26.5,240.8,8.0,11.2,9.8
2018-08-19,0.0,SW,13.9,40.7,7.0,10.5,8.7
2018-08-20,5.0,NE,19.4,87.0,9.8,13.4,11.7
2018-08-21,1.0,W,24.1,77.8,8.3,13.3,10.9
2018-08-22,1.0,W,39.3,100.0,8.1,11.1,10.0
2018-08-23,0.8,W,27.5,190.8,8.3,12.8,11.0
2018-08-24,0.0,W,29.2,70.4,6.5,11.8,8.8
2018-08-25,0.0,W,32.0,63.0,7.6,12.9,9.8
2018-08-26,0.0,SW,14.8,40.7,8.1,11.5,9.8
2018-08-27,0.0,W,11.7,31.5,9.8,12.1,10.9
2018-08-28,0.0,NNW,10.9,37.0,10.1,13.7,11.3
2018-08-29,10.0,NNE,23.3,77.8,11.0,14.6,12.3
2018-08-30,39.2,NNE,19.8,64.8,8.8,14.9,12.5
2018-08-31,0.0,W,21.1,57.4,9.8,13.3,11.1
