Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-07-01,5.6,W,15.6,75.9,8.2,12.1,10.2
2018-07-02,0.0,WNW,40.4,79.6,10.2,12.7,11.4
2018-07-03,0.0,SSW,26.1,70.4,8.1,10.3,9.1
2018-07-04,0.0,SW,22.0,66.7,7.5,9.7,8.5
2018-07-05,0.0,SSW,10.9,50.0,7.7,11.9,9.4
2018-07-06,0.0,WSW,10.2,29.6,8.8,12.0,10.0
2018-07-07,0.0,W,25.6,70.4,8.7,12.5,10.7
2018-07-08,0.8,N,27.6,142.6,11.1,14.5,13.2
2018-07-09,4.2,WSW,26.3,209.3,8.8,14.1,12.2
2018-07-10,0.4,W,46.5,101.9,6.9,11.4,9.8
2018-07-11,0.0,W,27.8,61.1,8.1,11.1,9.6
2018-07-12,0.0,W,21.3,64.8,8.9,11.6,10.1
2018-07-13,0.0,NE,14.6,46.3,9.7,12.4,10.6
2018-07-14,0.4,ENE,18.1,77.8,10.1,13.4,11.8
2018-07-15,11.4,ENE,55.1,155.6,11.2,13.5,12.1
2018-07-16,0.2,W,20.1,59.3,10.6,13.6,11.7
2018-07-17,0.0,W,29.5,59.3,9.9,12.3,10.8
2018-07-18,0.0,W,21.7,50.0,9.4,12.1,10.6
2018-07-19,7.4,WSW,10.8,229.6,9.1,13.0,11.1
2018-07-20,1.6,W,18.2,42.6,9.1,11.4,10.2
2018-07-21,0.0,NW,14.7,55.6,8.8,12.9,10.8
2018-07-22,7.8,NW,24.4,96.3,9.0,13.4,11.6
2018-07-23,0.0,W,23.3,53.7,9.0,10.9,10.0
2018-07-24,0.0,SW,15.0,42.6,6.7,11.0,8.5
2018-07-25,0.0,W,25.6,59.3,6.8,10.4,8.7
2018-07-26,4.8,W,40.3,81.5,9.6,13.0,11.1
2018-07-27,0.0,W,29.2,66.7,8.7,11.3,10.1
2018-07-28,0.0,WNW,44.7,77.8,10.1,12.7,11.1
2018-07-29,0.0,W,44.0,98.2,10.2,12.7,11.1
2018-07-30,0.0,WSW,21.5,61.1,7.9,10.5,9.3
2018-07-31,1.4,NNE,12.8,44.4,8.4,11.8,10.3
