Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-11-01,2.4,WSW,37.3,159.3,8.4,12.9,10.5
2018-11-02,0.0,WSW,32.4,96.3,8.0,16.1,11.2
2018-11-03,0.6,W,33.5,85.2,9.6,14.5,11.3
2018-11-04,0.4,W,48.2,101.9,10.7,15.6,13.6
2018-11-05,0.0,W,36.3,75.9,10.2,15.8,12.6
2018-11-06,0.0,WSW,20.1,50.0,10.6,16.6,12.6
2018-11-07,0.0,NNE,8.7,29.6,12.4,17.2,14.2
2018-11-08,0.0,S,10.8,48.2,14.1,15.7,14.6
2018-11-09,0.0,NE,13.0,70.4,13.9,17.7,15.1
2018-11-10,3.4,WNW,14.1,50.0,11.5,16.8,13.7
2018-11-11,0.8,ENE,11.3,44.4,10.8,15.8,13.1
2018-11-12,0.0,ENE,11.7,38.9,12.1,15.9,13.6
2018-11-13,10.2,ENE,14.0,42.6,12.5,15.6,13.4
2018-11-14,0.0,ENE,15.8,44.4,12.5,15.9,13.6
2018-11-15,0.0,ENE,10.0,40.7,12.0,16.8,13.8
2018-11-16,0.0,W,8.2,31.5,12.7,17.4,14.4
2018-11-17,0.0,SSW,7.2,35.2,13.5,18.9,15.0
2018-11-18,0.0,W,13.3,48.2,13.8,19.0,15.3
2018-11-19,0.0,W,18.0,61.1,10.9,17.5,13.8
2018-11-20,5.2,W,19.2,225.9,8.4,15.5,11.1
2018-11-21,5.2,NNW,24.1,120.4,9.1,14.1,11.3
2018-11-22,6.6,WSW,13.3,48.2,9.9,14.9,12.1
2018-11-23,0.0,SSE,11.7,46.3,12.0,17.8,14.2
2018-11-24,5.4,ENE,14.4,59.3,11.1,13.9,12.9
2018-11-25,12.4,ENE,23.2,66.7,13.2,15.8,14.7
2018-11-26,0.2,WNW,14.0,46.3,13.7,18.4,15.5
2018-11-27,1.2,ENE,12.1,64.8,12.5,17.9,15.7
2018-11-28,1.0,S,24.3,66.7,14.0,17.9,16.1
2018-11-29,0.0,SSW,16.2,57.4,14.0,20.4,16.1
2018-11-30,0.0,ENE,17.7,61.1,13.4,17.0,15.0
