Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-02-01,,NNE,44.9,,18.0,21.2,19.5
2018-02-02,,W,33.9,,15.7,21.0,18.7
2018-02-03,,S,23.9,,15.0,18.4,16.8
2018-02-04,,ESE,16.6,,14.5,19.4,16.9
2018-02-05,,E,17.4,,15.3,20.6,18.0
2018-02-06,,WSW,26.5,,15.9,20.9,18.3
2018-02-07,,E,21.4,,15.9,20.6,18.1
2018-02-08,,E,15.3,,15.2,18.6,16.3
2018-02-09,,ESE,27.4,,13.6,19.5,16.7
2018-02-10,,ENE,21.2,,18.8,20.1,19.6
2018-02-11,,NE,26.6,,19.4,21.0,20.2
2018-02-12,,NNE,40.0,,20.4,20.9,20.6
2018-02-13,,NNE,31.9,,19.5,20.7,20.2
2018-02-14,,ESE,18.4,,19.0,21.1,19.9
2018-02-15,,W,18.9,,19.4,22.2,20.1
2018-02-16,,SSW,18.1,,17.4,22.7,19.8
2018-02-17,,SSE,19.8,,18.4,22.3,20.0
2018-02-18,,S,13.5,,18.9,23.4,20.6
2018-02-19,,SSW,16.9,,19.7,22.3,20.5
2018-02-20,,NE,38.3,,19.6,20.9,20.3
2018-02-21,,WSW,26.1,,17.9,21.7,19.4
2018-02-22,,WSW,27.2,,15.3,19.5,17.4
2018-02-23,,SE,20.5,,14.4,19.1,16.4
2018-02-24,,E,18.4,,14.9,19.7,17.4
2018-02-25,,SE,17.7,,17.3,20.7,18.8
2018-02-26,,SW,27.2,,16.6,20.4,18.2
2018-02-27,,SE,25.9,,15.7,19.2,16.7
2018-02-28,,E,23.8,,15.8,19.5,17.5
