Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2019-01-01,0.0,ENE,7.5,31.5,16.5,21.5,18.4
2019-01-02,0.0,W,22.1,70.4,16.5,20.7,18.3
2019-01-03,0.0,W,41.5,92.6,16.1,20.8,18.1
2019-01-04,0.0,W,29.8,72.2,15.9,22.1,18.1
2019-01-05,0.0,SW,12.4,59.3,16.4,21.1,18.0
2019-01-06,0.0,W,39.4,88.9,14.6,22.1,18.0
2019-01-07,0.0,W,32.5,70.4,16.6,22.0,18.9
2019-01-08,0.0,W,15.1,55.6,16.7,22.0,18.4
2019-01-09,0.0,NE,12.3,37.0,17.2,20.9,18.5
2019-01-10,0.0,SW,7.7,44.4,17.1,21.9,18.7
2019-01-11,0.0,W,24.8,68.5,17.1,22.5,18.9
2019-01-12,0.0,ENE,19.4,61.1,17.0,22.4,19.0
2019-01-13,0.0,NE,23.5,59.3,16.5,18.9,17.5
2019-01-14,6.0,WNW,14.3,70.4,12.2,18.4,16.0
2019-01-15,12.4,WSW,11.0,38.9,13.4,19.7,16.3
2019-01-16,11.8,SSW,25.6,63.0,14.7,18.6,16.6
2019-01-17,0.0,W,21.5,57.4,16.5,22.2,18.6
2019-01-18,0.0,W,29.5,68.5,15.7,21.1,18.5
2019-01-19,0.0,NNW,16.0,57.4,17.3,21.4,19.0
2019-01-20,0.0,W,44.4,88.9,15.7,20.6,18.5
2019-01-21,0.0,W,47.1,94.5,14.7,21.0,17.2
2019-01-22,0.0,W,26.9,77.8,14.9,21.9,17.2
2019-01-23,0.0,W,38.9,88.9,15.3,20.9,17.8
2019-01-24,3.2,WNW,26.2,64.8,15.4,21.2,17.4
2019-01-25,0.2,NE,10.0,55.6,15.1,19.7,16.7
2019-01-26,1.8,WNW,22.7,55.6,14.7,19.4,16.9
2019-01-27,0.0,W,36.3,70.4,14.6,23.0,18.0
2019-01-28,0.0,W,26.2,74.1,17.4,22.4,20.4
2019-01-29,0.0,ESE,12.0,50.0,18.2,24.0,21.8
2019-01-30,0.0,ENE,15.5,46.3,17.6,21.3,19.2
2019-01-31,0.0,NE,6.5,25.9,16.9,20.8,18.5
