Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-06-01,0.0,ENE,13.9,51.9,10.2,13.5,11.6
2018-06-02,0.2,ENE,37.0,88.9,11.2,12.7,11.8
2018-06-03,12.4,ENE,36.8,90.7,11.9,14.7,13.0
2018-06-04,4.0,NE,14.4,57.4,13.0,15.5,14.5
2018-06-05,7.0,W,24.5,66.7,11.3,15.1,13.3
2018-06-06,5.4,W,24.9,68.5,7.2,11.4,9.6
2018-06-07,1.8,SW,34.4,92.6,6.3,9.5,7.9
2018-06-08,0.0,SW,26.2,66.7,7.4,12.1,10.2
2018-06-09,0.0,SW,13.8,48.2,8.6,12.3,10.2
2018-06-10,0.0,SE,12.8,46.3,9.5,12.3,10.8
2018-06-11,5.8,S,18.4,92.6,11.0,14.2,12.4
2018-06-12,22.0,NE,30.5,168.5,11.2,15.1,12.8
2018-06-13,0.2,W,19.6,55.6,11.9,13.9,12.8
2018-06-14,0.0,W,30.2,57.4,10.6,13.4,12.0
2018-06-15,0.0,W,26.0,61.1,10.2,12.8,11.4
2018-06-16,2.0,W,19.1,44.4,11.9,14.1,13.0
2018-06-17,2.6,WNW,30.8,116.7,10.2,14.1,12.5
2018-06-18,7.8,NW,19.7,90.7,11.6,14.7,13.1
2018-06-19,2.8,W,21.1,83.3,10.5,13.4,12.1
2018-06-20,0.0,NE,19.2,88.9,9.4,11.6,10.5
2018-06-21,0.0,ENE,19.7,94.5,9.0,12.2,10.4
2018-06-22,0.0,SSW,17.1,68.5,7.5,10.0,8.7
2018-06-23,0.0,W,20.5,59.3,7.4,11.0,9.1
2018-06-24,0.0,W,28.2,70.4,9.4,12.2,11.1
2018-06-25,3.6,W,40.3,87.0,7.6,12.5,10.1
2018-06-26,1.8,W,45.4,96.3,5.4,9.1,7.4
2018-06-27,0.0,WSW,28.9,72.2,5.3,9.5,7.5
2018-06-28,0.4,SW,16.9,37.0,7.2,10.3,8.7
2018-06-29,0.0,SSW,20.4,57.4,7.8,10.5,9.1
2018-06-30,0.0,WSW,16.5,37.0,7.7,9.8,8.7
