Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-03-01,,E,28.2,,17.3,19.6,18.3
2018-03-02,,E,32.9,,17.0,19.0,18.4
2018-03-03,,E,36.2,,17.4,19.6,18.1
2018-03-04,,ESE,28.7,,16.6,20.2,18.5
2018-03-05,,S,25.5,,17.4,22.8,19.3
2018-03-06,,SE,17.9,,18.6,22.3,19.9
2018-03-07,,ESE,22.4,,17.5,20.2,18.8
2018-03-08,,ESE,23.2,,16.7,21.5,18.7
2018-03-09,,S,33.3,,15.4,19.2,17.0
2018-03-10,,S,28.6,,14.4,19.7,16.4
2018-03-11,,SSE,20.7,,14.2,18.8,16.2
2018-03-12,,SE,32.1,,14.6,17.6,16.2
2018-03-13,,W,51.4,,14.5,19.2,17.0
2018-03-14,,W,30.6,,15.2,19.5,17.0
2018-03-15,,SW,21.9,,15.9,18.8,16.9
2018-03-16,,W,29.4,,15.7,19.9,17.3
2018-03-17,,S,21.1,,15.1,18.7,17.0
2018-03-18,,ESE,19.1,,14.6,19.2,16.4
2018-03-19,,ENE,29.2,,15.4,19.2,16.8
2018-03-20,,ENE,26.2,,16.2,20.1,17.3
2018-03-21,,ENE,14.8,,15.6,19.8,17.0
2018-03-22,,ENE,13.2,,16.0,16.2,16.1
2018-03-23,,ENE,23.5,,,,
2018-03-24,,NE,17.8,,,,
2018-03-25,,NE,26.6,,,,
2018-03-26,,S,9.7,,,,
2018-03-27,,ESE,9.2,,,,
2018-03-28,,NNW,9.4,,,,
2018-03-29,,W,17.4,,,,
2018-03-30,,W,16.3,,,,
2018-03-31,,WNW,30.0,,,,
