Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-09-01,0.0,SW,10.2,44.4,10.2,13.0,11.3
2018-09-02,3.8,W,22.0,90.7,9.8,14.1,12.4
2018-09-03,1.6,W,20.9,83.3,8.9,13.7,11.1
2018-09-04,8.0,SSW,11.2,216.7,7.3,11.4,9.0
2018-09-05,0.2,SW,15.0,44.4,8.4,12.9,9.8
2018-09-06,0.6,SW,23.5,75.9,7.7,11.7,9.7
2018-09-07,0.0,SW,23.7,114.8,8.7,12.6,10.5
2018-09-08,0.0,SW,31.9,77.8,8.1,11.4,10.1
2018-09-09,0.0,W,38.0,70.4,6.2,12.0,8.6
2018-09-10,0.0,W,15.7,46.3,6.4,11.2,8.6
2018-09-11,0.0,SSW,17.7,70.4,8.3,11.9,9.9
2018-09-12,0.0,WSW,21.2,74.1,8.6,12.1,10.4
2018-09-13,0.0,W,31.1,68.5,8.7,13.4,10.6
2018-09-14,0.0,W,32.2,72.2,9.1,14.6,11.4
2018-09-15,0.0,ENE,10.8,27.8,10.9,15.6,12.9
2018-09-16,0.2,NNE,14.7,42.6,10.8,13.5,12.3
2018-09-17,0.2,NNE,19.2,48.2,12.3,16.0,13.6
2018-09-18,3.8,E,25.6,94.5,13.0,16.9,14.0
2018-09-19,3.4,E,30.6,96.3,0.0,19.0,12.5
2018-09-20,0.4,ENE,11.4,63.0,,,
2018-09-21,0.2,WNW,18.4,51.9,,,
2018-09-22,1.6,S,15.5,63.0,,,
2018-09-23,0.0,WSW,20.8,53.7,,,
2018-09-24,0.2,W,33.4,72.2,,,
2018-09-25,0.4,W,53.1,250.0,,,
2018-09-26,0.0,W,45.9,83.3,,,
2018-09-27,0.0,W,20.5,59.3,,,
2018-09-28,0.0,NNW,12.6,46.3,,,
2018-09-29,0.0,W,22.5,57.4,,,
2018-09-30,0.0,W,14.8,44.4,,,
