Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-05-01,5.0,SE,15.9,55.6,14.5,18.5,16.0
2018-05-02,0.2,SSW,22.6,101.9,11.3,15.3,13.7
2018-05-03,0.0,SSW,15.8,68.5,11.0,14.2,12.3
2018-05-04,0.0,SSW,8.7,33.3,12.0,14.8,13.1
2018-05-05,0.0,SW,7.6,33.3,12.7,14.9,13.6
2018-05-06,0.0,W,26.5,63.0,13.3,16.8,14.7
2018-05-07,0.0,W,29.5,57.4,12.3,15.1,13.6
2018-05-08,0.0,W,29.5,68.5,11.4,16.1,13.4
2018-05-09,0.0,W,22.0,61.1,13.1,17.9,14.4
2018-05-10,0.0,ENE,10.7,33.3,13.7,15.7,14.6
2018-05-11,0.2,NE,9.7,51.9,11.4,17.3,15.5
2018-05-12,34.2,ENE,20.7,85.2,13.5,17.3,15.2
2018-05-13,22.2,NE,20.0,85.2,13.3,17.4,15.5
2018-05-14,41.6,NE,11.9,57.4,14.4,17.6,15.6
2018-05-15,1.0,NE,13.5,46.3,15.0,16.1,15.5
2018-05-16,2.0,WSW,15.4,68.5,14.3,17.3,16.0
2018-05-17,0.0,WNW,35.5,74.1,10.7,14.8,13.0
2018-05-18,0.0,W,31.4,66.7,10.5,14.3,12.3
2018-05-19,0.0,W,34.4,81.5,12.8,14.8,13.9
2018-05-20,0.0,W,32.2,63.0,11.2,14.5,13.2
2018-05-21,0.4,W,40.7,85.2,13.3,15.8,14.4
2018-05-22,1.6,WSW,14.5,61.1,12.4,15.5,14.1
2018-05-23,1.2,W,36.3,224.1,8.9,15.0,11.5
2018-05-24,0.2,W,42.8,94.5,8.4,13.3,10.9
2018-05-25,0.8,W,33.6,259.3,10.5,14.1,12.5
2018-05-26,0.0,WSW,30.3,81.5,8.3,11.4,10.0
2018-05-27,0.4,W,40.3,85.2,8.9,12.9,10.9
2018-05-28,0.0,SW,32.7,85.2,6.9,9.4,8.0
2018-05-29,0.0,SW,23.5,51.9,6.9,10.4,8.7
2018-05-30,0.0,SSW,25.1,57.4,7.7,10.6,9.0
2018-05-31,0.0,SSW,13.8,46.3,8.3,11.2,9.6
